dataset,model_key,battery,noise_type,noise_rate,loss,loss_value,acc_clean_labels,acc_noisy_labels,q
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.0),1.946469545,,,0
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.2),1.606026053,,,0.2
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.4),1.343799233,,,0.4
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.6),1.139537573,,,0.6
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.8),0.97862041,,,0.8
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=1.0),0.850413144,,,1
DermaMNIST,CLIP,A-Clean,Clean,0,CCE,2.064163208,0.136666667,0.136666667,
DermaMNIST,CLIP,A-Clean,Clean,0,MAE,0.860455155,0.136666667,0.136666667,
DermaMNIST,CLIP,A-Clean,Clean,0,GCE(q=0.7),1.075862408,0.136666667,0.136666667,
DermaMNIST,CLIP,A-Clean,Clean,0,TruncGCE,1.076342225,0.136666667,0.136666667,
DermaMNIST,CLIP,A-Clean,Clean,0,SCE,8.131500244,0.136666667,0.136666667,
DermaMNIST,CLIP,A-Clean,Clean,0,SDIV,2.72142458,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,CCE,2.064163208,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,MAE,0.860455155,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,GCE(q=0.7),1.075862408,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,TruncGCE,1.076342225,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,SCE,8.131500244,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,SDIV,2.72142458,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0,ForwardT,2.06416297,0.136666667,0.136666667,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,CCE,2.069644928,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,MAE,0.861037135,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,GCE(q=0.7),1.076838136,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,TruncGCE,1.077318668,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,SCE,8.13740921,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,SDIV,2.724903584,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,ForwardT,2.02089715,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.2,ForwardThat,1.910740972,0.136666667,0.13,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,CCE,2.072131872,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,MAE,0.860818505,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,GCE(q=0.7),1.076677322,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,TruncGCE,1.077157855,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,SCE,8.135643959,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,SDIV,2.724012136,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,ForwardT,1.986276865,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.4,ForwardThat,1.913972259,0.136666667,0.138333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,CCE,2.085595608,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,MAE,0.861898899,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,GCE(q=0.7),1.07896173,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,TruncGCE,1.079444051,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,SCE,8.146942139,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,SDIV,2.731604099,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,ForwardT,1.964752197,0.136666667,0.128333333,
DermaMNIST,CLIP,B-Uniform,Uniform,0.6,ForwardThat,1.918475389,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,CCE,2.064267397,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,MAE,0.860843122,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,GCE(q=0.7),1.076315284,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,TruncGCE,1.07679534,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,SCE,8.13508606,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,SDIV,2.723320961,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,ForwardT,2.045963526,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.1,ForwardThat,1.908476591,0.136666667,0.128333333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,CCE,2.061910629,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,MAE,0.860651791,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,GCE(q=0.7),1.075872421,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,TruncGCE,1.076352239,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,SCE,8.133087158,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,SDIV,2.721877813,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,ForwardT,2.028865099,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.2,ForwardThat,1.912936211,0.136666667,0.125,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,CCE,2.067587614,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,MAE,0.861679733,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,GCE(q=0.7),1.077531815,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,TruncGCE,1.078012943,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,SCE,8.143122673,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,SDIV,2.727951288,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,ForwardT,2.019659758,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.3,ForwardThat,1.916860342,0.136666667,0.120833333,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,CCE,2.071181536,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,MAE,0.862045825,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,GCE(q=0.7),1.078213215,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,TruncGCE,1.07869494,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,SCE,8.146854401,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,SDIV,2.73030901,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,ForwardT,2.005750418,0.136666667,0.1175,
DermaMNIST,CLIP,B-ClassDep,ClassDep,0.4,ForwardThat,1.91958952,0.136666667,0.1175,
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.0),2.06416297,,,0
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.2),1.678795099,,,0.2
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.4),1.388642073,,,0.4
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.6),1.167023897,,,0.6
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.8),0.995332897,,,0.8
DermaMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=1.0),0.860455155,,,1
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.0),2.069644928,,,0
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.2),1.681927919,,,0.2
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.4),1.390520215,,,0.4
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.6),1.168218374,,,0.6
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.8),0.996142507,,,0.8
DermaMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=1.0),0.861037135,,,1
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.0),2.085595369,,,0
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.2),1.690968037,,,0.2
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.4),1.39561522,,,0.4
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.6),1.171068192,,,0.6
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.8),0.997720361,,,0.8
DermaMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=1.0),0.861898899,,,1
