dataset,model_key,battery,noise_type,noise_rate,loss,loss_value,acc_clean_labels,acc_noisy_labels,q
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,ForwardT,2.222732782,0.23,0.169166667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,ForwardThat,1.978841186,0.23,0.169166667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,CCE,2.314059734,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,MAE,0.869121909,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,GCE(q=0.7),1.101838827,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,TruncGCE,1.102303505,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,SCE,8.236315727,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,SDIV,2.780967712,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,ForwardT,2.242941141,0.23,0.151666667,
PathMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,ForwardThat,1.987891912,0.23,0.151666667,
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.0),2.160915136,,,0
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.2),1.71391356,,,0.2
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.4),1.394696593,,,0.4
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.6),1.160502076,,,0.6
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.8),0.984359145,,,0.8
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=1.0),0.848845363,,,1
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.0),2.248323917,,,0
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.2),1.766384482,,,0.2
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.4),1.427263975,,,0.4
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.6),1.181356072,,,0.6
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.8),0.998096466,,,0.8
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=1.0),0.858125031,,,1
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.0),2.377760887,,,0
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.2),1.844791889,,,0.2
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.4),1.476142645,,,0.4
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.6),1.212650537,,,0.6
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=0.8),1.018625259,,,0.8
PathMNIST,MedSigLIP,D-q-sweep,Uniform,0.6,GCE(q=1.0),0.87188822,,,1
PathMNIST,CLIP,A-Clean,Clean,0,CCE,2.417057276,0.181666667,0.181666667,
PathMNIST,CLIP,A-Clean,Clean,0,MAE,0.873126864,0.181666667,0.181666667,
PathMNIST,CLIP,A-Clean,Clean,0,GCE(q=0.7),1.112256289,0.181666667,0.181666667,
PathMNIST,CLIP,A-Clean,Clean,0,TruncGCE,1.112256289,0.181666667,0.181666667,
PathMNIST,CLIP,A-Clean,Clean,0,SCE,8.283501625,0.181666667,0.181666667,
PathMNIST,CLIP,A-Clean,Clean,0,SDIV,2.809035301,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,CCE,2.417057276,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,MAE,0.873126864,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,GCE(q=0.7),1.112256289,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,TruncGCE,1.112256289,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,SCE,8.283501625,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,SDIV,2.809035301,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0,ForwardT,2.417057276,0.181666667,0.181666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,CCE,2.415989637,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,MAE,0.873994052,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,GCE(q=0.7),1.113443255,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,TruncGCE,1.113443255,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,SCE,8.291381836,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,SDIV,2.813736439,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,ForwardT,2.278176785,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.2,ForwardThat,1.895079851,0.181666667,0.176666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,CCE,2.406692743,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,MAE,0.875862837,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,GCE(q=0.7),1.115241766,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,TruncGCE,1.115241647,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,SCE,8.307664871,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,SDIV,2.82213068,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,ForwardT,2.215188742,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.4,ForwardThat,1.901751399,0.181666667,0.156666667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,CCE,2.431145906,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,MAE,0.880009353,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,GCE(q=0.7),1.12238729,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,TruncGCE,1.12238729,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,SCE,8.34829998,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,SDIV,2.847750902,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,ForwardT,2.199375868,0.181666667,0.139166667,
PathMNIST,CLIP,B-Uniform,Uniform,0.6,ForwardThat,1.912670135,0.181666667,0.139166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,CCE,2.399400949,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,MAE,0.871789277,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,GCE(q=0.7),1.109456062,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,TruncGCE,1.109456062,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,SCE,8.269414902,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,SDIV,2.799718857,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,ForwardT,2.314341784,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.1,ForwardThat,1.890758514,0.181666667,0.189166667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,CCE,2.400533915,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,MAE,0.873093069,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,GCE(q=0.7),1.11126554,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,TruncGCE,1.111265421,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,SCE,8.28153801,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,SDIV,2.806799889,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,ForwardT,2.269185543,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.2,ForwardThat,1.893637776,0.181666667,0.1775,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,CCE,2.390260458,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,MAE,0.873553872,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,GCE(q=0.7),1.111244559,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,TruncGCE,1.111244559,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,SCE,8.284755707,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,SDIV,2.807857037,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,ForwardT,2.235064745,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.3,ForwardThat,1.895301104,0.181666667,0.171666667,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,CCE,2.387994766,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,MAE,0.874863327,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,GCE(q=0.7),1.112875581,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,TruncGCE,1.112875581,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,SCE,8.296588898,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,SDIV,2.814571142,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,ForwardT,2.227290392,0.181666667,0.160833333,
PathMNIST,CLIP,B-ClassDep,ClassDep,0.4,ForwardThat,1.898421526,0.181666667,0.160833333,
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.0),2.417057276,,,0
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.2),1.864799619,,,0.2
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.4),1.48636055,,,0.4
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.6),1.217841983,,,0.6
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=0.8),1.021214247,,,0.8
PathMNIST,CLIP,D-q-sweep,Uniform,0,GCE(q=1.0),0.873126864,,,1
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.0),2.415989637,,,0
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.2),1.865544677,,,0.2
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.4),1.48762846,,,0.4
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.6),1.219109178,,,0.6
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=0.8),1.022299528,,,0.8
PathMNIST,CLIP,D-q-sweep,Uniform,0.2,GCE(q=1.0),0.873994052,,,1
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.0),2.431145906,,,0
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.2),1.880061865,,,0.2
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.4),1.50009346,,,0.4
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.6),1.229195595,,,0.6
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=0.8),1.030176282,,,0.8
PathMNIST,CLIP,D-q-sweep,Uniform,0.6,GCE(q=1.0),0.880009353,,,1
DermaMNIST,MedSigLIP,A-Clean,Clean,0,CCE,1.884301543,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,A-Clean,Clean,0,MAE,0.840785444,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,A-Clean,Clean,0,GCE(q=0.7),1.037737727,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,A-Clean,Clean,0,TruncGCE,1.037737727,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,A-Clean,Clean,0,SCE,7.932350636,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,A-Clean,Clean,0,SDIV,2.578884125,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,CCE,1.884301543,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,MAE,0.840785444,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,GCE(q=0.7),1.037737727,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,TruncGCE,1.037737727,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,SCE,7.932350636,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,SDIV,2.578884125,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0,ForwardT,1.884301543,0.199166667,0.199166667,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,CCE,1.910623193,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,MAE,0.844651043,0.199166667,0.195833333,
