epoch,q,acc
1,0.9,0.5647632311977716
2,0.87,0.47938718662952645
3,0.8400000000000001,0.5697771587743733
4,0.81,0.653899721448468
5,0.78,0.5480501392757661
6,0.75,0.5976323119777158
7,0.7200000000000001,0.6114206128133705
8,0.69,0.6788300835654596
9,0.66,0.7104456824512535
10,0.63,0.7959610027855153
11,0.6000000000000001,0.7540389972144846
12,0.57,0.7474930362116992
13,0.54,0.7566852367688023
14,0.51,0.7857938718662952
15,0.48,0.7876044568245125
16,0.45,0.7974930362116992
17,0.42000000000000004,0.8061281337047354
18,0.39,0.7894150417827298
19,0.36000000000000004,0.6850974930362117
20,0.33,0.8055710306406685
21,0.30000000000000004,0.8192200557103064
22,0.2700000000000001,0.7949860724233984
23,0.24000000000000005,0.7966573816155988
24,0.20999999999999996,0.8011142061281337
25,0.17999999999999997,0.846100278551532
26,0.14999999999999997,0.8259052924791086
27,0.11999999999999998,0.8087743732590529
28,0.08999999999999998,0.8
29,0.05999999999999999,0.8033426183844011
30,0.029999999999999995,0.8154596100278552
