epoch,q,acc
1,0.9,0.6688279301745635
2,0.87,0.6688279301745635
3,0.8400000000000001,0.6688279301745635
4,0.81,0.6688279301745635
5,0.78,0.6688279301745635
6,0.75,0.6688279301745635
7,0.7200000000000001,0.6688279301745635
8,0.69,0.6688279301745635
9,0.66,0.6688279301745635
10,0.63,0.6688279301745635
11,0.6000000000000001,0.6688279301745635
12,0.57,0.6688279301745635
13,0.54,0.6688279301745635
14,0.51,0.6688279301745635
15,0.48,0.6688279301745635
16,0.45,0.6688279301745635
17,0.42000000000000004,0.6304239401496259
18,0.39,0.6633416458852868
19,0.36000000000000004,0.6688279301745635
20,0.33,0.6688279301745635
21,0.30000000000000004,0.6688279301745635
22,0.2700000000000001,0.6623441396508728
23,0.24000000000000005,0.6688279301745635
24,0.20999999999999996,0.6743142144638404
25,0.17999999999999997,0.6688279301745635
26,0.14999999999999997,0.6703241895261846
27,0.11999999999999998,0.6872817955112219
28,0.08999999999999998,0.6788029925187032
29,0.05999999999999999,0.6778054862842893
30,0.029999999999999995,0.6748129675810474
