dataset,loss,epsilon,seed,accuracy
pathmnist,CCE,0.0,42,0.8331476323119777
pathmnist,CCE,0.00392156862745098,42,0.3172701949860724
pathmnist,CCE,0.00784313725490196,42,0.18384401114206128
pathmnist,CCE,0.01568627450980392,42,0.16880222841225626
pathmnist,CCE,0.03137254901960784,42,0.17604456824512535
pathmnist,MAE,0.0,42,0.3506963788300836
pathmnist,MAE,0.00392156862745098,42,0.3376044568245125
pathmnist,MAE,0.00784313725490196,42,0.3225626740947075
pathmnist,MAE,0.01568627450980392,42,0.3104456824512535
pathmnist,MAE,0.03137254901960784,42,0.2222841225626741
pathmnist,GCE(q=0.7),0.0,42,0.78008356545961
pathmnist,GCE(q=0.7),0.00392156862745098,42,0.40264623955431755
pathmnist,GCE(q=0.7),0.00784313725490196,42,0.23370473537604458
pathmnist,GCE(q=0.7),0.01568627450980392,42,0.1594707520891365
pathmnist,GCE(q=0.7),0.03137254901960784,42,0.13732590529247912
pathmnist,TruncGCE,0.0,42,0.8033426183844011
pathmnist,TruncGCE,0.00392156862745098,42,0.3587743732590529
pathmnist,TruncGCE,0.00784313725490196,42,0.198050139275766
pathmnist,TruncGCE,0.01568627450980392,42,0.14066852367688024
pathmnist,TruncGCE,0.03137254901960784,42,0.12743732590529247
pathmnist,SCE,0.0,42,0.8015320334261838
pathmnist,SCE,0.00392156862745098,42,0.4823119777158774
pathmnist,SCE,0.00784313725490196,42,0.32813370473537606
pathmnist,SCE,0.01568627450980392,42,0.2288300835654596
pathmnist,SCE,0.03137254901960784,42,0.11949860724233984
pathmnist,TPDD-CCE,0.0,42,0.8037604456824513
pathmnist,TPDD-CCE,0.00392156862745098,42,0.35473537604456823
pathmnist,TPDD-CCE,0.00784313725490196,42,0.1799442896935933
pathmnist,TPDD-CCE,0.01568627450980392,42,0.13593314763231198
pathmnist,TPDD-CCE,0.03137254901960784,42,0.13579387186629527
pathmnist,SDIV,0.0,42,0.8093314763231197
pathmnist,SDIV,0.00392156862745098,42,0.3338440111420613
pathmnist,SDIV,0.00784313725490196,42,0.2020891364902507
pathmnist,SDIV,0.01568627450980392,42,0.16114206128133704
pathmnist,SDIV,0.03137254901960784,42,0.15891364902506963
pathmnist,TSCCE,0.0,42,0.7589136490250696
pathmnist,TSCCE,0.00392156862745098,42,0.3385793871866295
pathmnist,TSCCE,0.00784313725490196,42,0.21016713091922007
pathmnist,TSCCE,0.01568627450980392,42,0.17061281337047354
pathmnist,TSCCE,0.03137254901960784,42,0.21155988857938718
pathmnist,FCL,0.0,42,0.7688022284122563
pathmnist,FCL,0.00392156862745098,42,0.45
pathmnist,FCL,0.00784313725490196,42,0.27395543175487463
pathmnist,FCL,0.01568627450980392,42,0.1370473537604457
pathmnist,FCL,0.03137254901960784,42,0.07116991643454039
