dataset,loss,epsilon,seed,accuracy
dermamnist,CCE,0.0,42,0.7226932668329177
dermamnist,CCE,0.00392156862745098,42,0.6164588528678304
dermamnist,CCE,0.00784313725490196,42,0.5221945137157107
dermamnist,CCE,0.01568627450980392,42,0.39900249376558605
dermamnist,CCE,0.03137254901960784,42,0.22693266832917705
dermamnist,MAE,0.0,42,0.6688279301745635
dermamnist,MAE,0.00392156862745098,42,0.6688279301745635
dermamnist,MAE,0.00784313725490196,42,0.6688279301745635
dermamnist,MAE,0.01568627450980392,42,0.6688279301745635
dermamnist,MAE,0.03137254901960784,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.0,42,0.6693266832917706
dermamnist,GCE(q=0.7),0.00392156862745098,42,0.6693266832917706
dermamnist,GCE(q=0.7),0.00784313725490196,42,0.6693266832917706
dermamnist,GCE(q=0.7),0.01568627450980392,42,0.6693266832917706
dermamnist,GCE(q=0.7),0.03137254901960784,42,0.6688279301745635
dermamnist,TruncGCE,0.0,42,0.6703241895261846
dermamnist,TruncGCE,0.00392156862745098,42,0.6688279301745635
dermamnist,TruncGCE,0.00784313725490196,42,0.6683291770573566
dermamnist,TruncGCE,0.01568627450980392,42,0.6683291770573566
dermamnist,TruncGCE,0.03137254901960784,42,0.6653366583541147
dermamnist,SCE,0.0,42,0.712219451371571
dermamnist,SCE,0.00392156862745098,42,0.656857855361596
dermamnist,SCE,0.00784313725490196,42,0.6264339152119701
dermamnist,SCE,0.01568627450980392,42,0.5900249376558604
dermamnist,SCE,0.03137254901960784,42,0.5411471321695761
dermamnist,TPDD-CCE,0.0,42,0.7316708229426434
dermamnist,TPDD-CCE,0.00392156862745098,42,0.6339152119700748
dermamnist,TPDD-CCE,0.00784313725490196,42,0.5531172069825436
dermamnist,TPDD-CCE,0.01568627450980392,42,0.43341645885286784
dermamnist,TPDD-CCE,0.03137254901960784,42,0.2743142144638404
dermamnist,SDIV,0.0,42,0.6688279301745635
dermamnist,SDIV,0.00392156862745098,42,0.6688279301745635
dermamnist,SDIV,0.00784313725490196,42,0.6688279301745635
dermamnist,SDIV,0.01568627450980392,42,0.6688279301745635
dermamnist,SDIV,0.03137254901960784,42,0.6688279301745635
dermamnist,TSCCE,0.0,42,0.6718204488778055
dermamnist,TSCCE,0.00392156862745098,42,0.6428927680798004
dermamnist,TSCCE,0.00784313725490196,42,0.6159600997506235
dermamnist,TSCCE,0.01568627450980392,42,0.5665835411471322
dermamnist,TSCCE,0.03137254901960784,42,0.46633416458852867
dermamnist,FCL,0.0,42,0.7276807980049875
dermamnist,FCL,0.00392156862745098,42,0.6528678304239401
dermamnist,FCL,0.00784313725490196,42,0.5910224438902744
dermamnist,FCL,0.01568627450980392,42,0.4763092269326683
dermamnist,FCL,0.03137254901960784,42,0.2902743142144638
